"account_number","suite","house_number","street_name","garage","neighbourhood_id","neighbourhood","ward","assessed_value","latitude","longitude","point_location","tax_class_pct_1","tax_class_pct_2","tax_class_pct_3","mill_class_1","mill_class_2","mill_class_3"
"1158526",,"16003","80 AVENUE NW","Y","4140","ELMWOOD","sipiwiyiniwak Ward","340500","53.51350623744762","-113.5988343239977","POINT (-113.5988343239977 53.51350623744762)","100",,,"RESIDENTIAL",,
"1228600",,"12814","123 STREET NW","N","3070","CALDER","Anirniq Ward","204000","53.58644929496868","-113.53394337493154","POINT (-113.53394337493154 53.58644929496868)","100",,,"RESIDENTIAL",,
"1222454","50","2115","118 STREET NW","N","5460","SKYRATTLER","Ipiihkoohkanipiaohtsi Ward","162000","53.45106722291874","-113.52948864664086","POINT (-113.52948864664086 53.45106722291874)","100",,,"RESIDENTIAL",,
"1077866",,"14570","33 STREET NE","Y","2160","CLOVER BAR AREA","Dene Ward","834500","53.607509220531206","-113.29725304111493","POINT (-113.29725304111493 53.607509220531206)","86","13","1","RESIDENTIAL","RESIDENTIAL","FARMLAND"
"1083013",,,,"N","1150","OLIVER","O-day'min Ward","8000","53.540771906982826","-113.5321360279101","POINT (-113.5321360279101 53.540771906982826)","100",,,"RESIDENTIAL",,
"1101047",,,,"N","2670","RURAL NORTH EAST HORSE HILL","Dene Ward","55000","53.65310269408715","-113.35998035361304","POINT (-113.35998035361304 53.65310269408715)","100",,,"COMMERCIAL",,
"1081470",,,,"N","1150","OLIVER","O-day'min Ward","8000","53.540771906982826","-113.5321360279101","POINT (-113.5321360279101 53.540771906982826)","100",,,"RESIDENTIAL",,
"1286038","603","10145","121 STREET NW","N","1150","OLIVER","O-day'min Ward","100500","53.542161896253226","-113.53018329065722","POINT (-113.53018329065722 53.542161896253226)","100",,,"RESIDENTIAL",,
"1298132",,"9521","152 STREET NW","Y","4580","WEST JASPER PLACE","Nakota Isga Ward","321500","53.532229224275014","-113.5828073953155","POINT (-113.5828073953155 53.532229224275014)","100",,,"RESIDENTIAL",,
"1208214",,"7310","183B STREET NW","Y","4270","LYMBURN","sipiwiyiniwak Ward","322500","53.50730535956804","-113.64131570504082","POINT (-113.64131570504082 53.50730535956804)","100",,,"RESIDENTIAL",,
"1142488",,"8409","157 STREET NW","Y","4280","LYNNWOOD","sipiwiyiniwak Ward","375000","53.5176723590365","-113.59131603851964","POINT (-113.59131603851964 53.5176723590365)","100",,,"RESIDENTIAL",,
"1171032","31","1411","MILL WOODS ROAD EAST NW","N","6140","CRAWFORD PLAINS","Sspomitapi Ward","153000","53.442710881597336","-113.40353853260105","POINT (-113.40353853260105 53.442710881597336)","100",,,"RESIDENTIAL",,
"1182898",,"8903","157 STREET NW","Y","4310","MEADOWLARK PARK","sipiwiyiniwak Ward","336500","53.523706581551615","-113.59326946376035","POINT (-113.59326946376035 53.523706581551615)","100",,,"RESIDENTIAL",,
"1317346",,,,"N","1150","OLIVER","O-day'min Ward","8000","53.540144793026066","-113.52725484458843","POINT (-113.52725484458843 53.540144793026066)","100",,,"RESIDENTIAL",,
"1257948",,"142","CENTENNIAL COURT NW","N","4060","BRITANNIA YOUNGSTOWN","Nakota Isga Ward","153000","53.54767180705669","-113.61051384692745","POINT (-113.61051384692745 53.54767180705669)","100",,,"RESIDENTIAL",,
"1036623",,"18008","94 STREET NW","Y","2450","LAGO LINDO","tastawiyiniwak Ward","400000","53.642245679550605","-113.48767339167046","POINT (-113.48767339167046 53.642245679550605)","100",,,"RESIDENTIAL",,
"1111749",,"20710","111 AVENUE NW","N","4650","WINTERBURN INDUSTRIAL AREA EAST","Nakota Isga Ward","2310000","53.5586852218386","-113.6789985981689","POINT (-113.6789985981689 53.5586852218386)","94","5","1","COMMERCIAL","COMMERCIAL","FARMLAND"
"1046051",,"7315","152C AVENUE NW","Y","2410","KILKENNY","tastawiyiniwak Ward","333500","53.615038348036265","-113.45488030680815","POINT (-113.45488030680815 53.615038348036265)","100",,,"RESIDENTIAL",,
"1193887",,"8326","158 AVENUE NW","N","2050","BELLE RIVE","tastawiyiniwak Ward","301500","53.618784789846885","-113.4697091589881","POINT (-113.4697091589881 53.618784789846885)","100",,,"RESIDENTIAL",,
"1118637",,"20203","113 AVENUE NW","N","4650","WINTERBURN INDUSTRIAL AREA EAST","Nakota Isga Ward","2459500","53.560418495344834","-113.66990727805474","POINT (-113.66990727805474 53.560418495344834)","100",,,"COMMERCIAL",,
"1078542",,"7920","152C AVENUE NW","Y","2410","KILKENNY","tastawiyiniwak Ward","364500","53.6155832180415","-113.46564344847411","POINT (-113.46564344847411 53.6155832180415)","100",,,"RESIDENTIAL",,
"1298231",,"16723","93 STREET NW","Y","2450","LAGO LINDO","tastawiyiniwak Ward","322000","53.6297932270937","-113.48453546571642","POINT (-113.48453546571642 53.6297932270937)","100",,,"RESIDENTIAL",,
"1023985",,,,"N","4440","RIVER VALLEY LESSARD NORTH","sipiwiyiniwak Ward","1500","53.50791001029285","-113.59816253950096","POINT (-113.59816253950096 53.50791001029285)","100",,,"COMMERCIAL",,
"1029404","16","2020","105 STREET NW","N","5250","KEHEEWIN","Ipiihkoohkanipiaohtsi Ward","204000","53.45158551934073","-113.50248090098611","POINT (-113.50248090098611 53.45158551934073)","100",,,"RESIDENTIAL",,
"1221357",,"20438","107 AVENUE NW","N","4650","WINTERBURN INDUSTRIAL AREA EAST","Nakota Isga Ward","269000","53.55186462172856","-113.67314508867224","POINT (-113.67314508867224 53.55186462172856)","100",,,"COMMERCIAL",,
"1317544",,"9738","159 STREET NW","Y","4180","GLENWOOD","Nakota Isga Ward","503500","53.53586849488146","-113.59607456952362","POINT (-113.59607456952362 53.53586849488146)","100",,,"RESIDENTIAL",,
"1079649",,"143","WALSH CRESCENT NW","Y","4610","WESTRIDGE","sipiwiyiniwak Ward","536000","53.505513261168375","-113.61394366682003","POINT (-113.61394366682003 53.505513261168375)","100",,,"RESIDENTIAL",,
"1081769",,,,"N","1150","OLIVER","O-day'min Ward","8000","53.540771906982826","-113.5321360279101","POINT (-113.5321360279101 53.540771906982826)","100",,,"RESIDENTIAL",,
"1016906",,"1228","104 STREET NW","Y","5030","BEARSPAW","Ipiihkoohkanipiaohtsi Ward","412500","53.44357821802669","-113.49483939299891","POINT (-113.49483939299891 53.44357821802669)","100",,,"RESIDENTIAL",,
"1143015",,"7028","189 STREET NW","Y","4270","LYMBURN","sipiwiyiniwak Ward","365000","53.50468230365018","-113.65039507820977","POINT (-113.65039507820977 53.50468230365018)","100",,,"RESIDENTIAL",,
"1043975","903","10045","117 STREET NW","N","1150","OLIVER","O-day'min Ward","167500","53.540051481661735","-113.52261283073618","POINT (-113.52261283073618 53.540051481661735)","100",,,"RESIDENTIAL",,
"1100023",,"16404","6 STREET NW","N","2690","RURAL NORTH EAST SOUTH STURGEON","Dene Ward","1500","53.625430883623565","-113.35216271614495","POINT (-113.35216271614495 53.625430883623565)","100",,,"FARMLAND",,
"1241215","36","2204","118 STREET NW","N","5460","SKYRATTLER","Ipiihkoohkanipiaohtsi Ward","158500","53.45276524932354","-113.53139026050656","POINT (-113.53139026050656 53.45276524932354)","100",,,"RESIDENTIAL",,
"1206846",,"15922","92 AVENUE NW","Y","4310","MEADOWLARK PARK","sipiwiyiniwak Ward","353000","53.526954743415075","-113.59634220437756","POINT (-113.59634220437756 53.526954743415075)","100",,,"RESIDENTIAL",,
"1288232",,"9232","153 STREET NW","Y","4500","SHERWOOD","sipiwiyiniwak Ward","338500","53.52754193856991","-113.5855546058043","POINT (-113.5855546058043 53.52754193856991)","100",,,"RESIDENTIAL",,
"1143262",,"8402","156 STREET NW","Y","4280","LYNNWOOD","sipiwiyiniwak Ward","321500","53.51726106256678","-113.59073139574136","POINT (-113.59073139574136 53.51726106256678)","100",,,"RESIDENTIAL",,
"1127075","210","9333","50 STREET NW","N","6180","EASTGATE BUSINESS PARK","Métis Ward","216000","53.53143231618712","-113.41728454007942","POINT (-113.41728454007942 53.53143231618712)","100",,,"COMMERCIAL",,
"1041979",,,,"N","5340","RAMSAY HEIGHTS","pihêsiwin Ward","5500","53.48391461135611","-113.577031327807","POINT (-113.577031327807 53.48391461135611)","100",,,"RESIDENTIAL",,
"1318716",,"9814","158 STREET NW","N","4180","GLENWOOD","Nakota Isga Ward","253000","53.53663595905875","-113.59431685996304","POINT (-113.59431685996304 53.53663595905875)","100",,,"RESIDENTIAL",,
"1185602",,"4616","127 AVENUE NW","N","2350","HOMESTEADER","Dene Ward","161000","53.585584650488414","-113.41278109941945","POINT (-113.41278109941945 53.585584650488414)","100",,,"RESIDENTIAL",,
"1221779","5","2115","118 STREET NW","N","5460","SKYRATTLER","Ipiihkoohkanipiaohtsi Ward","166000","53.45106722291874","-113.52948864664086","POINT (-113.52948864664086 53.45106722291874)","100",,,"RESIDENTIAL",,
"1085851","206","12141","JASPER AVENUE NW","N","1150","OLIVER","O-day'min Ward","157000","53.540771906982826","-113.5321360279101","POINT (-113.5321360279101 53.540771906982826)","100",,,"RESIDENTIAL",,
"1189620","12B","10050","118 STREET NW","N","1150","OLIVER","O-day'min Ward","575500","53.54033965527479","-113.52550829517108","POINT (-113.52550829517108 53.54033965527479)","100",,,"RESIDENTIAL",,
"1055383",,"4121","41 AVENUE NW","N","6370","KINISKI GARDENS","Sspomitapi Ward","294500","53.476820542427596","-113.40518285430184","POINT (-113.40518285430184 53.476820542427596)","100",,,"RESIDENTIAL",,
"1159490","29","14511","52 STREET NW","N","2130","CASSELMAN","Dene Ward","171000","53.607528465911926","-113.41879998724329","POINT (-113.41879998724329 53.607528465911926)","100",,,"RESIDENTIAL",,
"1059252",,"165","KINISKI CRESCENT NW","N","6370","KINISKI GARDENS","Sspomitapi Ward","303000","53.48102921560818","-113.40418511676434","POINT (-113.40418511676434 53.48102921560818)","100",,,"RESIDENTIAL",,
"1217587",,"8722","164 STREET NW","Y","4590","WEST MEADOWLARK PARK","sipiwiyiniwak Ward","343000","53.52161030106265","-113.60476345490213","POINT (-113.60476345490213 53.52161030106265)","100",,,"RESIDENTIAL",,
"1298819",,"128","LAGO LINDO CRESCENT NW","Y","2450","LAGO LINDO","tastawiyiniwak Ward","326000","53.62956397149991","-113.48807090210282","POINT (-113.48807090210282 53.62956397149991)","100",,,"RESIDENTIAL",,
"1028323","27","10453","20 AVENUE NW","N","5250","KEHEEWIN","Ipiihkoohkanipiaohtsi Ward","191000","53.44972173311874","-113.49848762847681","POINT (-113.49848762847681 53.44972173311874)","100",,,"RESIDENTIAL",,
"1119726",,"22944","110 AVENUE NW","N","4670","WINTERBURN INDUSTRIAL AREA WEST","Nakota Isga Ward","671500","53.55764388392752","-113.71196959692719","POINT (-113.71196959692719 53.55764388392752)","100",,,"COMMERCIAL",,
"1224708",,"10829","21 AVENUE NW","Y","5250","KEHEEWIN","Ipiihkoohkanipiaohtsi Ward","317000","53.45224893211939","-113.50622165000436","POINT (-113.50622165000436 53.45224893211939)","100",,,"RESIDENTIAL",,
"1027432","28","3812","20 AVENUE NW","N","6150","DALY GROVE","Sspomitapi Ward","156500","53.451763208012686","-113.40079628530401","POINT (-113.40079628530401 53.451763208012686)","100",,,"RESIDENTIAL",,
"1290824","101","6223","172 STREET NW","N","4080","CALLINGWOOD SOUTH","sipiwiyiniwak Ward","93500","53.49898412109566","-113.61930247119706","POINT (-113.61930247119706 53.49898412109566)","100",,,"RESIDENTIAL",,
"1281211",,"9707","155 STREET NW","Y","4580","WEST JASPER PLACE","Nakota Isga Ward","643500","53.53492281556669","-113.58806942168701","POINT (-113.58806942168701 53.53492281556669)","100",,,"RESIDENTIAL",,
"1059385",,"139","KINISKI CRESCENT NW","N","6370","KINISKI GARDENS","Sspomitapi Ward","330500","53.479819406631464","-113.40525599929207","POINT (-113.40525599929207 53.479819406631464)","100",,,"RESIDENTIAL",,
"1039817",,"5319","21 AVENUE NW","N","6460","MEYOKUMIN","Karhiio Ward","283500","53.45196573182994","-113.42427812312694","POINT (-113.42427812312694 53.45196573182994)","100",,,"RESIDENTIAL",,
"1314343","1306","9917","110 STREET NW","N","1150","OLIVER","O-day'min Ward","197500","53.5379825975964","-113.50973998466505","POINT (-113.50973998466505 53.5379825975964)","100",,,"RESIDENTIAL",,
"1294909","306","12225","STONY PLAIN ROAD NW","N","1150","OLIVER","O-day'min Ward","114500","53.54632952208474","-113.53362754335504","POINT (-113.53362754335504 53.54632952208474)","100",,,"RESIDENTIAL",,
"1124239",,,,"N","1150","OLIVER","O-day'min Ward","8000","53.53987246314568","-113.5163150837986","POINT (-113.5163150837986 53.53987246314568)","100",,,"RESIDENTIAL",,
"1210178",,"16002","94A AVENUE NW","Y","4310","MEADOWLARK PARK","sipiwiyiniwak Ward","373000","53.53093730489302","-113.59766605818531","POINT (-113.59766605818531 53.53093730489302)","100",,,"RESIDENTIAL",,
"1130426",,"15229","82 AVENUE NW","Y","4280","LYNNWOOD","sipiwiyiniwak Ward","601500","53.51491425438702","-113.58463279945742","POINT (-113.58463279945742 53.51491425438702)","100",,,"RESIDENTIAL",,
"1014372",,"10439","14 AVENUE NW","Y","5030","BEARSPAW","Ipiihkoohkanipiaohtsi Ward","400500","53.44450762175168","-113.49634098136914","POINT (-113.49634098136914 53.44450762175168)","100",,,"RESIDENTIAL",,
"1101013",,"18911","18 STREET NW","N","2670","RURAL NORTH EAST HORSE HILL","Dene Ward","992000","53.65127686476985","-113.36495840264375","POINT (-113.36495840264375 53.65127686476985)","100",,,"RESIDENTIAL",,
"1392158",,"10202","157 STREET NW","Y","4060","BRITANNIA YOUNGSTOWN","Nakota Isga Ward","223000","53.54346820462888","-113.59259253017018","POINT (-113.59259253017018 53.54346820462888)","100",,,"RESIDENTIAL",,
"1229160",,"16436","89 AVENUE NW","Y","4590","WEST MEADOWLARK PARK","sipiwiyiniwak Ward","261000","53.52400219169182","-113.60676725920652","POINT (-113.60676725920652 53.52400219169182)","100",,,"RESIDENTIAL",,
"1272632",,"9946","155 STREET NW","Y","4580","WEST JASPER PLACE","Nakota Isga Ward","322000","53.53898127577681","-113.5890465722732","POINT (-113.5890465722732 53.53898127577681)","100",,,"RESIDENTIAL",,
"1233741","508","10149","SASKATCHEWAN DRIVE NW","N","5480","STRATHCONA","papastew Ward","151500","53.52349869022008","-113.49387075218355","POINT (-113.49387075218355 53.52349869022008)","100",,,"RESIDENTIAL",,
"1214709",,,,"N","1070","CROMDALE","Métis Ward","500","53.55591201019","-113.47031114606736","POINT (-113.47031114606736 53.55591201019)","100",,,"RESIDENTIAL",,
"1123934","7","10032","113 STREET NW","N","1150","OLIVER","O-day'min Ward","204500","53.53987246314568","-113.5163150837986","POINT (-113.5163150837986 53.53987246314568)","100",,,"RESIDENTIAL",,
"1263839","207","14908","26 STREET NW","N","2280","FRASER","Dene Ward","55500","53.61197346411985","-113.37948128519791","POINT (-113.37948128519791 53.61197346411985)","100",,,"RESIDENTIAL",,
"1063072",,"11118","83 AVENUE NW","N","5200","GARNEAU","papastew Ward","347500","53.519372127196945","-113.51860032581321","POINT (-113.51860032581321 53.519372127196945)","100",,,"RESIDENTIAL",,
"1255256",,"42","HUNTINGTON HILL NW","N","5170","EMPIRE PARK","papastew Ward","134500","53.48548453723555","-113.4976989872093","POINT (-113.4976989872093 53.48548453723555)","100",,,"RESIDENTIAL",,
"1106400","3","13104","159 STREET NW","N","4320","MISTATIM INDUSTRIAL","Anirniq Ward","430000","53.59089187055333","-113.59787253243874","POINT (-113.59787253243874 53.59089187055333)","100",,,"COMMERCIAL",,
"1259183",,"174","CENTENNIAL COURT NW","N","4060","BRITANNIA YOUNGSTOWN","Nakota Isga Ward","156000","53.54767180705669","-113.61051384692745","POINT (-113.61051384692745 53.54767180705669)","100",,,"RESIDENTIAL",,
"1185321",,"8803","163 STREET NW","Y","4310","MEADOWLARK PARK","sipiwiyiniwak Ward","317000","53.5229827572012","-113.6023069933719","POINT (-113.6023069933719 53.5229827572012)","100",,,"RESIDENTIAL",,
"1061936","103","10175","114 STREET NW","N","1150","OLIVER","O-day'min Ward","118000","53.542637347578406","-113.51709427725768","POINT (-113.51709427725768 53.542637347578406)","100",,,"RESIDENTIAL",,
"1303866",,"9707","151 STREET NW","Y","4580","WEST JASPER PLACE","Nakota Isga Ward","290500","53.5349166545806","-113.5810467346516","POINT (-113.5810467346516 53.5349166545806)","100",,,"RESIDENTIAL",,
"1056563",,"23","KINISKI CRESCENT NW","N","6370","KINISKI GARDENS","Sspomitapi Ward","305500","53.47782743981978","-113.40002217879274","POINT (-113.40002217879274 53.47782743981978)","100",,,"RESIDENTIAL",,
"1031772",,"7915","27 AVENUE NW","N","6470","MEYONOHK","Karhiio Ward","167500","53.45704125727985","-113.45431883515649","POINT (-113.45431883515649 53.45704125727985)","100",,,"RESIDENTIAL",,
"1255231",,"8912","154 STREET NW","Y","4230","JASPER PARK","sipiwiyiniwak Ward","349000","53.52170790919891","-113.58731165686261","POINT (-113.58731165686261 53.52170790919891)","100",,,"RESIDENTIAL",,
"1078385",,"8015","152B AVENUE NW","Y","2410","KILKENNY","tastawiyiniwak Ward","442500","53.61430602416451","-113.46642925454603","POINT (-113.46642925454603 53.61430602416451)","100",,,"RESIDENTIAL",,
"1166859",,"16420","79A AVENUE NW","Y","4140","ELMWOOD","sipiwiyiniwak Ward","374500","53.51311852931283","-113.60532660774848","POINT (-113.60532660774848 53.51311852931283)","100",,,"RESIDENTIAL",,
"1024462",,"18433","66 AVENUE NW","N","4380","ORMSBY PLACE","sipiwiyiniwak Ward","140500","53.50027617708824","-113.64105128498298","POINT (-113.64105128498298 53.50027617708824)","100",,,"RESIDENTIAL",,
"1207257","206","1939","104 STREET NW","N","5250","KEHEEWIN","Ipiihkoohkanipiaohtsi Ward","100000","53.45067938026154","-113.49389483633416","POINT (-113.49389483633416 53.45067938026154)","100",,,"RESIDENTIAL",,
"1155977",,"8006","160 STREET NW","Y","4140","ELMWOOD","sipiwiyiniwak Ward","262500","53.514071201860915","-113.59867189289193","POINT (-113.59867189289193 53.514071201860915)","100",,,"RESIDENTIAL",,
"1190172",,"8812","160 STREET NW","Y","4310","MEADOWLARK PARK","sipiwiyiniwak Ward","371500","53.52353766034147","-113.59856909113552","POINT (-113.59856909113552 53.52353766034147)","100",,,"RESIDENTIAL",,
"1029941",,"6159","38 AVENUE NW","N","6300","HILLVIEW","Karhiio Ward","177000","53.47352140311311","-113.4312669424637","POINT (-113.4312669424637 53.47352140311311)","100",,,"RESIDENTIAL",,
"1257435",,"130","CENTENNIAL COURT NW","N","4060","BRITANNIA YOUNGSTOWN","Nakota Isga Ward","170000","53.54767180705669","-113.61051384692745","POINT (-113.61051384692745 53.54767180705669)","100",,,"RESIDENTIAL",,
"1377308",,"16514","103 AVENUE NW","N","4060","BRITANNIA YOUNGSTOWN","Nakota Isga Ward","277000","53.545737813801026","-113.60700635022562","POINT (-113.60700635022562 53.545737813801026)","100",,,"RESIDENTIAL",,
"1197953",,"2805","259 AVENUE NE","Y","2681","EDMONTON ENERGY AND TECHNOLOGY PARK","Dene Ward","520000","53.71506921558581","-113.3015175701646","POINT (-113.3015175701646 53.71506921558581)","88","11","1","RESIDENTIAL","RESIDENTIAL","FARMLAND"
"1238104",,"16608","92A AVENUE NW","Y","4590","WEST MEADOWLARK PARK","sipiwiyiniwak Ward","421500","53.52826273348341","-113.60985939718428","POINT (-113.60985939718428 53.52826273348341)","100",,,"RESIDENTIAL",,
"1035534",,"10847","21 AVENUE NW","N","5250","KEHEEWIN","Ipiihkoohkanipiaohtsi Ward","307500","53.452242888091796","-113.5073454717243","POINT (-113.5073454717243 53.452242888091796)","100",,,"RESIDENTIAL",,
"1094481",,"314","HEDLEY WAY NW","Y","5230","HENDERSON ESTATES","pihêsiwin Ward","806000","53.46263823211978","-113.60231474777662","POINT (-113.60231474777662 53.46263823211978)","100",,,"RESIDENTIAL",,
"1078864",,"7812","152B AVENUE NW","Y","2410","KILKENNY","tastawiyiniwak Ward","371500","53.61477698836113","-113.46381669690793","POINT (-113.46381669690793 53.61477698836113)","100",,,"RESIDENTIAL",,
"1190719",,"15914","88A AVENUE NW","Y","4310","MEADOWLARK PARK","sipiwiyiniwak Ward","384000","53.52214387860041","-113.59614931715797","POINT (-113.59614931715797 53.52214387860041)","100",,,"RESIDENTIAL",,
"1127992",,"15117","84 AVENUE NW","Y","4280","LYNNWOOD","sipiwiyiniwak Ward","420500","53.51668589542731","-113.58228752095344","POINT (-113.58228752095344 53.51668589542731)","100",,,"RESIDENTIAL",,
"1286541","902","10145","121 STREET NW","N","1150","OLIVER","O-day'min Ward","102500","53.542161896253226","-113.53018329065722","POINT (-113.53018329065722 53.542161896253226)","100",,,"RESIDENTIAL",,
"1056324",,"79","KINISKI CRESCENT NW","Y","6370","KINISKI GARDENS","Sspomitapi Ward","350000","53.47767304893933","-113.40163275397343","POINT (-113.40163275397343 53.47767304893933)","100",,,"RESIDENTIAL",,
"1025907","10","12715","81 STREET NW","N","2020","BALWIN","tastawiyiniwak Ward","63500","53.58543065508136","-113.46503788755483","POINT (-113.46503788755483 53.58543065508136)","100",,,"RESIDENTIAL",,
"1206143","17","1820","56 STREET NW","N","6460","MEYOKUMIN","Karhiio Ward","181500","53.448883237050815","-113.42620353199626","POINT (-113.42620353199626 53.448883237050815)","100",,,"RESIDENTIAL",,
"1101658",,"7612","153 STREET NW","Y","4430","RIO TERRACE","sipiwiyiniwak Ward","481000","53.50936477732086","-113.58495897456264","POINT (-113.58495897456264 53.50936477732086)","100",,,"RESIDENTIAL",,
"1314459",,"9616","158 STREET NW","Y","4180","GLENWOOD","Nakota Isga Ward","305000","53.53366598643751","-113.59431969309952","POINT (-113.59431969309952 53.53366598643751)","100",,,"RESIDENTIAL",,
"1156355","307","17820","98 AVENUE NW","N","4240","LA PERLE","Nakota Isga Ward","95500","53.533943211241294","-113.62989686351602","POINT (-113.62989686351602 53.533943211241294)","100",,,"RESIDENTIAL",,
"1217132",,"8719","164A STREET NW","Y","4590","WEST MEADOWLARK PARK","sipiwiyiniwak Ward","337500","53.52161273941991","-113.60536080419583","POINT (-113.60536080419583 53.52161273941991)","100",,,"RESIDENTIAL",,
"1077130",,"1803","121 AVENUE NE","N","2160","CLOVER BAR AREA","Dene Ward","3023000","53.572851372243555","-113.31848492115013","POINT (-113.31848492115013 53.572851372243555)","100",,,"COMMERCIAL",,
"1089127",,"16203","PATRICIA DRIVE NW","Y","4390","PATRICIA HEIGHTS","sipiwiyiniwak Ward","725500","53.50950044368494","-113.60246682778309","POINT (-113.60246682778309 53.50950044368494)","100",,,"RESIDENTIAL",,
"1012418",,"15124","45 AVENUE NW","Y","5340","RAMSAY HEIGHTS","pihêsiwin Ward","284000","53.48456049274555","-113.58191288991183","POINT (-113.58191288991183 53.48456049274555)","100",,,"RESIDENTIAL",,
"1291574","304","6219","172 STREET NW","N","4080","CALLINGWOOD SOUTH","sipiwiyiniwak Ward","117000","53.49898412109566","-113.61930247119706","POINT (-113.61930247119706 53.49898412109566)","100",,,"RESIDENTIAL",,
"1197110","12","7604","29 AVENUE NW","N","6340","KAMEYOSEK","Karhiio Ward","145000","53.460921936964624","-113.4470620330178","POINT (-113.4470620330178 53.460921936964624)","100",,,"RESIDENTIAL",,
"1306430","205","11848","87 STREET NW","N","1100","EASTWOOD","Métis Ward","70500","53.5711455053695","-113.47490878942168","POINT (-113.47490878942168 53.5711455053695)","100",,,"RESIDENTIAL",,
"1113802",,"15105","RIO TERRACE DRIVE NW","Y","4430","RIO TERRACE","sipiwiyiniwak Ward","3229000","53.50586423774036","-113.58202290625916","POINT (-113.58202290625916 53.50586423774036)","100",,,"RESIDENTIAL",,
"1055490",,"4017","41 AVENUE NW","Y","6370","KINISKI GARDENS","Sspomitapi Ward","312000","53.47678707659285","-113.40345130791617","POINT (-113.40345130791617 53.47678707659285)","100",,,"RESIDENTIAL",,
"1282334",,"6335","27 STREET NW","N","6690","SOUTHEAST INDUSTRIAL","Sspomitapi Ward","9000","53.49984522448695","-113.38180666666959","POINT (-113.38180666666959 53.49984522448695)","100",,,"COMMERCIAL",,
"1259811",,"192","CENTENNIAL COURT NW","N","4060","BRITANNIA YOUNGSTOWN","Nakota Isga Ward","169000","53.54767180705669","-113.61051384692745","POINT (-113.61051384692745 53.54767180705669)","100",,,"RESIDENTIAL",,
"1278274",,"15515","95 AVENUE NW","Y","4500","SHERWOOD","sipiwiyiniwak Ward","264000","53.53121403273166","-113.58928213171166","POINT (-113.58928213171166 53.53121403273166)","100",,,"RESIDENTIAL",,
"1072529",,"6011","34 STREET NW","N","6690","SOUTHEAST INDUSTRIAL","Sspomitapi Ward","835000","53.4974422622018","-113.3878002216675","POINT (-113.3878002216675 53.4974422622018)","100",,,"COMMERCIAL",,
